BARRIO,Atropello,Caída Ocupante,Choque,Incendio,Otro,Volcamiento,Total,C3G,C4G,C5G,C6G,C7G
Aldea Pablo VI,27,12,35,0,8,1,83,1,3,5,5,1
Alejandría,14,18,434,0,25,8,499,1,1,1,3,2
Alejandro Echavarría,98,84,482,0,125,51,840,1,1,1,3,2
Alfonso López,132,178,607,0,181,49,1147,3,1,3,1,2
Altamira,50,144,466,0,100,16,776,1,1,1,3,2
Altavista,62,29,206,0,44,12,353,1,3,5,5,3
Altos del Poblado,15,19,199,0,23,10,266,1,3,5,5,3
Andalucía,58,25,115,0,30,12,240,1,3,5,5,1
Antonio Nariño,40,46,99,0,38,17,240,1,3,5,5,1
Aranjuez,55,50,205,0,46,17,373,1,3,5,5,3
Asomadera No.2,8,24,391,0,46,20,489,1,3,1,3,2
Asomadera No.3,2,13,105,0,14,10,144,1,3,5,5,1
Asomadera No.1,16,24,324,0,31,21,416,1,3,1,3,3
Astorga,11,6,266,0,14,4,301,1,3,5,3,3
Aures No.1,75,110,170,0,108,23,486,1,3,5,5,3
Aures No.2,74,150,200,0,124,35,583,1,3,5,3,3
Ecoparque Cerro El Volador,27,16,102,0,22,2,169,1,3,5,5,1
Barrio Caicedo,116,108,508,0,124,52,908,1,1,1,3,2
Barrio Colombia,59,70,946,0,91,24,1190,3,1,3,1,5
Barrio Colón,319,171,2851,0,231,58,3630,2,4,2,4,4
Barrio Cristóbal,12,12,114,0,15,1,154,1,3,5,5,1
Barrios de Jesús,43,36,138,0,39,11,267,1,3,5,5,1
Batallón Girardot,6,1,4,0,0,0,11,1,3,5,5,1
Belalcázar,33,38,398,0,73,14,556,1,3,1,3,2
Belén,184,147,1857,0,188,64,2440,2,2,4,2,7
Belencito,23,15,88,0,30,3,159,1,3,5,5,1
Bello Horizonte,51,41,193,0,37,13,335,1,3,5,5,3
Berlín,162,96,427,0,100,25,810,1,1,1,3,2
Bermejal-Los Álamos,63,22,110,0,29,8,232,1,3,5,5,1
Betania,20,26,40,0,18,6,110,1,3,5,5,1
Blanquizal,16,11,39,0,15,7,88,1,3,5,5,1
Bolivariana,49,54,745,0,66,21,935,3,1,3,1,5
Bomboná No.2,36,34,191,0,47,25,333,1,3,5,5,3
Bomboná No.1,84,61,967,0,93,28,1233,3,1,3,1,5
Bosques de San Pablo,24,47,249,0,40,8,368,1,3,5,3,3
Boston,220,120,1737,0,155,62,2294,2,2,4,2,7
Boyacá,58,88,336,0,76,27,585,1,3,1,3,3
Brasilia,79,50,297,0,55,19,500,1,3,1,3,3
Buenos Aires,84,74,695,0,109,30,992,3,1,3,1,5
Calasanz,47,62,612,0,78,11,810,3,1,3,1,2
Calasanz Parte Alta,23,47,301,0,52,11,434,1,3,1,3,3
Calle Nueva,124,86,1299,0,78,31,1618,3,2,4,6,6
Campo Alegre,56,65,335,0,70,17,543,1,3,1,3,3
Campo Amor,205,276,3160,0,379,127,4147,2,4,2,4,4
Campo Valdés No.1,184,125,697,0,157,47,1210,3,1,3,1,5
Campo Valdés No.2,212,119,453,0,122,35,941,1,1,1,3,2
Caribe,193,327,3302,0,467,146,4435,2,4,2,4,4
Carlos E. Restrepo,139,233,2265,0,275,75,2987,2,2,4,2,7
Carpinelo,39,14,30,0,15,7,105,1,3,5,5,1
Castilla,321,363,1327,0,458,121,2590,3,2,4,6,6
Castropol,50,61,833,0,79,28,1051,3,1,3,1,5
Cataluña,30,25,153,0,50,18,276,1,3,5,5,1
Cementerio Universal,6,19,152,0,30,4,211,1,3,5,5,1
Centro Administrativo,21,23,210,0,32,12,298,1,3,5,5,3
Cerro Nutibara,40,47,606,0,88,38,819,3,1,3,1,2
Corazón de Jesús,182,144,1905,0,169,51,2451,2,2,4,2,7
Córdoba,50,94,256,0,93,17,510,1,3,1,3,3
Cristo Rey,147,101,1449,0,163,62,1922,3,2,4,6,6
Cuarta Brigada,101,99,861,1,94,26,1182,3,1,3,1,5
Cucaracho,63,197,521,0,185,38,1004,1,1,1,1,2
Diego Echavarría,18,32,304,0,41,18,413,1,3,1,3,3
Doce de Octubre No.1,111,110,202,0,88,16,527,1,3,5,3,3
Doce de Octubre No.2,109,108,273,0,109,25,624,1,3,1,3,3
Eduardo Santos,4,7,19,0,9,3,42,1,3,5,5,1
El Castillo,10,5,250,0,10,7,282,1,3,5,3,3
El Chagualo,215,155,1439,0,200,48,2057,3,2,4,6,6
El Compromiso,36,7,55,0,6,4,108,1,3,5,5,1
El Corazón,19,17,58,0,13,4,111,1,3,5,5,1
El Danubio,29,40,266,0,41,13,389,1,3,1,3,3
El Diamante,126,208,423,0,218,28,1003,1,1,1,3,2
El Diamante No.2,11,10,212,0,17,9,259,1,3,5,5,3
Estadio,125,111,954,0,158,34,1382,3,1,3,1,5
El Nogal-Los Almendros,23,18,357,0,27,8,433,1,3,1,3,3
El Pesebre,30,32,93,0,28,5,188,1,3,5,5,1
El Pinal,108,62,264,0,74,24,532,1,3,1,3,3
El Poblado,64,51,1096,0,96,29,1336,3,1,3,6,6
El Pomar,63,40,184,1,42,12,342,1,3,5,5,3
El Progreso,104,187,1283,0,164,42,1780,3,2,4,6,6
Progreso No.2,25,27,70,0,22,1,145,1,3,5,5,1
El Raizal,86,76,219,0,70,27,478,1,3,5,3,3
El Rincón,86,97,459,1,151,52,846,1,1,1,3,2
El Rodeo,20,16,99,0,16,10,161,1,3,5,5,1
El Salado,39,25,75,0,28,14,181,1,3,5,5,1
El Salvador,69,60,318,0,96,25,568,1,3,1,3,3
El Socorro,21,9,25,0,8,2,65,1,3,5,5,1
El Tesoro,13,35,510,0,33,24,615,1,1,1,3,2
El Triunfo,12,8,11,0,16,2,49,1,3,5,5,1
El Velódromo,41,62,509,0,57,11,680,1,1,1,3,2
Enciso,97,67,391,0,67,34,656,1,3,1,3,2
Estación Villa,203,90,776,0,105,31,1205,3,1,3,1,5
Facultad de Minas U. Nacional,44,177,682,0,224,38,1165,3,1,3,1,5
Facultad Veterinaria y Zootecnia U.de.A.,15,19,171,0,23,4,232,1,3,5,5,3
Fátima,57,58,897,0,80,28,1120,3,1,3,1,5
Ferrini,24,24,173,0,29,9,259,1,3,5,5,3
Florencia,42,64,191,0,47,13,357,1,3,5,5,3
Florida Nueva,88,44,577,0,72,16,797,3,1,1,1,2
Francisco Antonio Zea,76,65,338,0,91,22,592,1,3,1,3,3
Fuente Clara,12,11,55,0,16,6,100,1,3,5,5,1
Gerona,65,45,242,0,73,21,446,1,3,5,3,3
Girardot,92,151,577,0,160,46,1026,3,1,1,1,2
Granada,40,19,354,0,34,17,464,1,3,1,3,3
Granizal,89,29,171,0,40,11,340,1,3,5,5,3
Guayabal,136,157,1729,0,214,83,2319,2,2,4,2,7
Guayaquil,347,184,2726,1,203,52,3513,2,4,2,4,4
Héctor Abad Gómez,43,76,631,0,121,39,910,3,1,3,1,5
Hospital San Vicente de Paúl,15,10,98,0,7,5,135,1,3,5,5,1
Jardín Botánico,22,18,132,0,26,5,203,1,3,5,5,1
Jesús Nazareno,178,162,1370,1,210,69,1990,3,2,4,6,6
Juan Pablo II,11,6,10,0,3,5,35,1,3,5,5,1
Juan XXIII La Quiebra,36,24,68,0,26,7,161,1,3,5,5,1
Kennedy,192,148,410,0,146,27,923,1,1,1,3,2
La Aguacatala,43,111,1482,0,152,50,1838,3,2,4,6,6
La Alpujarra,55,63,1078,0,93,33,1322,3,1,3,6,6
La América,121,86,749,0,108,39,1103,3,1,3,1,5
La Avanzada,31,12,56,0,10,3,112,1,3,5,5,1
La Candelaria,920,293,3542,0,260,71,5086,2,4,2,4,4
La Castellana,42,37,585,0,38,13,715,3,1,1,1,2
La Colina,50,68,293,0,76,22,509,1,3,1,3,3
La Cruz,33,8,43,0,7,6,97,1,3,5,5,1
La Esperanza,152,124,257,0,115,25,673,1,3,1,3,3
La Esperanza No.2,36,14,48,0,14,6,118,1,3,5,5,1
La Floresta,70,64,496,0,78,16,724,1,1,1,3,2
La Florida,38,29,717,0,35,18,837,3,1,3,1,5
La Francia,61,32,130,0,24,10,257,1,3,5,5,1
La Frontera,54,24,114,0,28,12,232,1,3,5,5,1
La Gloria,50,87,635,0,142,39,953,3,1,3,1,5
La Hondonada,9,20,120,0,24,3,176,1,3,5,5,1
La Isla,70,17,77,0,24,5,193,1,3,5,5,1
La Ladera,8,12,48,0,11,2,81,1,3,5,5,1
La Libertad,54,47,147,0,59,13,320,1,3,5,5,3
La Loma de Los Bernal,1,2,25,0,4,0,32,1,3,5,5,1
La Mansión,30,25,192,0,30,10,287,1,3,5,5,3
La Milagrosa,58,53,326,0,42,16,495,1,3,1,3,3
La Mota,22,30,272,0,41,19,384,1,3,1,3,3
La Palma,63,57,419,0,69,22,630,1,1,1,3,2
La Pilarica,28,47,321,0,59,13,468,1,3,1,3,3
La Piñuela,51,54,176,0,37,16,334,1,3,5,5,3
La Pradera,61,63,177,0,65,23,389,1,3,5,5,3
