"BARRIO","MES","PERIODO","total"
"Aldea Pablo VI",1,2014,2
"Aldea Pablo VI",1,2015,2
"Aldea Pablo VI",1,2016,3
"Aldea Pablo VI",1,2017,1
"Aldea Pablo VI",1,2018,2
"Aldea Pablo VI",2,2014,1
"Aldea Pablo VI",2,2015,1
"Aldea Pablo VI",2,2016,1
"Aldea Pablo VI",2,2017,3
"Aldea Pablo VI",2,2018,2
"Aldea Pablo VI",3,2014,2
"Aldea Pablo VI",3,2015,1
"Aldea Pablo VI",3,2016,1
"Aldea Pablo VI",3,2017,1
"Aldea Pablo VI",3,2018,2
"Aldea Pablo VI",4,2014,2
"Aldea Pablo VI",4,2015,1
"Aldea Pablo VI",4,2016,3
"Aldea Pablo VI",4,2017,1
"Aldea Pablo VI",4,2018,1
"Aldea Pablo VI",5,2014,2
"Aldea Pablo VI",5,2015,1
"Aldea Pablo VI",5,2016,1
"Aldea Pablo VI",5,2017,2
"Aldea Pablo VI",6,2014,2
"Aldea Pablo VI",6,2015,1
"Aldea Pablo VI",6,2018,1
"Aldea Pablo VI",7,2014,1
"Aldea Pablo VI",7,2015,3
"Aldea Pablo VI",7,2016,2
"Aldea Pablo VI",7,2017,2
"Aldea Pablo VI",7,2018,3
"Aldea Pablo VI",8,2014,1
"Aldea Pablo VI",8,2015,1
"Aldea Pablo VI",8,2016,2
"Aldea Pablo VI",8,2018,3
"Aldea Pablo VI",9,2014,3
"Aldea Pablo VI",9,2015,1
"Aldea Pablo VI",9,2016,3
"Aldea Pablo VI",9,2018,3
"Aldea Pablo VI",10,2016,2
"Aldea Pablo VI",11,2014,1
"Aldea Pablo VI",11,2015,1
"Aldea Pablo VI",11,2016,1
"Aldea Pablo VI",11,2017,1
"Aldea Pablo VI",11,2018,1
"Aldea Pablo VI",12,2015,2
"Aldea Pablo VI",12,2016,1
"Aldea Pablo VI",12,2018,2
"Alejandría",1,2014,7
"Alejandría",1,2015,4
"Alejandría",1,2016,5
"Alejandría",1,2017,7
"Alejandría",1,2018,13
"Alejandría",2,2014,14
"Alejandría",2,2015,4
"Alejandría",2,2016,5
"Alejandría",2,2017,9
"Alejandría",2,2018,9
"Alejandría",3,2014,3
"Alejandría",3,2015,3
"Alejandría",3,2016,9
"Alejandría",3,2017,9
"Alejandría",3,2018,9
"Alejandría",4,2014,6
"Alejandría",4,2015,1
"Alejandría",4,2016,10
"Alejandría",4,2017,9
"Alejandría",4,2018,7
"Alejandría",5,2014,8
"Alejandría",5,2015,9
"Alejandría",5,2016,11
"Alejandría",5,2017,15
"Alejandría",5,2018,13
"Alejandría",6,2014,11
"Alejandría",6,2015,7
"Alejandría",6,2016,7
"Alejandría",6,2017,10
"Alejandría",6,2018,11
"Alejandría",7,2014,4
"Alejandría",7,2015,10
"Alejandría",7,2016,8
"Alejandría",7,2017,12
"Alejandría",7,2018,9
"Alejandría",8,2014,6
"Alejandría",8,2015,7
"Alejandría",8,2016,10
"Alejandría",8,2017,11
"Alejandría",8,2018,12
"Alejandría",9,2014,2
"Alejandría",9,2015,6
"Alejandría",9,2016,9
"Alejandría",9,2017,10
"Alejandría",9,2018,15
"Alejandría",10,2014,7
"Alejandría",10,2015,4
"Alejandría",10,2016,8
"Alejandría",10,2017,12
"Alejandría",10,2018,12
"Alejandría",11,2014,5
"Alejandría",11,2015,6
"Alejandría",11,2016,15
"Alejandría",11,2017,10
"Alejandría",11,2018,12
"Alejandría",12,2014,5
"Alejandría",12,2015,3
"Alejandría",12,2016,8
"Alejandría",12,2017,9
"Alejandría",12,2018,7
"Alejandro Echavarría",1,2014,15
"Alejandro Echavarría",1,2015,3
"Alejandro Echavarría",1,2016,13
"Alejandro Echavarría",1,2017,18
"Alejandro Echavarría",1,2018,11
"Alejandro Echavarría",2,2014,12
"Alejandro Echavarría",2,2015,14
"Alejandro Echavarría",2,2016,11
"Alejandro Echavarría",2,2017,13
"Alejandro Echavarría",2,2018,8
"Alejandro Echavarría",3,2014,16
"Alejandro Echavarría",3,2015,9
"Alejandro Echavarría",3,2016,21
"Alejandro Echavarría",3,2017,16
"Alejandro Echavarría",3,2018,20
"Alejandro Echavarría",4,2014,12
"Alejandro Echavarría",4,2015,14
"Alejandro Echavarría",4,2016,16
"Alejandro Echavarría",4,2017,18
"Alejandro Echavarría",4,2018,15
"Alejandro Echavarría",5,2014,13
"Alejandro Echavarría",5,2015,13
"Alejandro Echavarría",5,2016,14
"Alejandro Echavarría",5,2017,20
"Alejandro Echavarría",5,2018,21
"Alejandro Echavarría",6,2014,14
"Alejandro Echavarría",6,2015,12
"Alejandro Echavarría",6,2016,15
"Alejandro Echavarría",6,2017,17
"Alejandro Echavarría",6,2018,22
"Alejandro Echavarría",7,2014,11
"Alejandro Echavarría",7,2015,8
"Alejandro Echavarría",7,2016,17
"Alejandro Echavarría",7,2017,12
"Alejandro Echavarría",7,2018,12
"Alejandro Echavarría",8,2014,14
"Alejandro Echavarría",8,2015,17
"Alejandro Echavarría",8,2016,11
"Alejandro Echavarría",8,2017,13
"Alejandro Echavarría",8,2018,13
"Alejandro Echavarría",9,2014,14
"Alejandro Echavarría",9,2015,13
"Alejandro Echavarría",9,2016,20
"Alejandro Echavarría",9,2017,18
"Alejandro Echavarría",9,2018,16
"Alejandro Echavarría",10,2014,13
"Alejandro Echavarría",10,2015,11
"Alejandro Echavarría",10,2016,20
"Alejandro Echavarría",10,2017,10
"Alejandro Echavarría",10,2018,12
"Alejandro Echavarría",11,2014,14
"Alejandro Echavarría",11,2015,12
"Alejandro Echavarría",11,2016,15
"Alejandro Echavarría",11,2017,11
"Alejandro Echavarría",11,2018,6
"Alejandro Echavarría",12,2014,11
"Alejandro Echavarría",12,2015,19
"Alejandro Echavarría",12,2016,14
"Alejandro Echavarría",12,2017,14
"Alejandro Echavarría",12,2018,13
"Alfonso López",1,2014,17
"Alfonso López",1,2015,12
"Alfonso López",1,2016,29
"Alfonso López",1,2017,27
"Alfonso López",1,2018,11
"Alfonso López",2,2014,13
"Alfonso López",2,2015,21
"Alfonso López",2,2016,22
"Alfonso López",2,2017,21
"Alfonso López",2,2018,13
"Alfonso López",3,2014,27
"Alfonso López",3,2015,20
"Alfonso López",3,2016,22
"Alfonso López",3,2017,20
"Alfonso López",3,2018,26
"Alfonso López",4,2014,10
"Alfonso López",4,2015,23
"Alfonso López",4,2016,24
"Alfonso López",4,2017,13
"Alfonso López",4,2018,20
"Alfonso López",5,2014,26
"Alfonso López",5,2015,18
"Alfonso López",5,2016,24
"Alfonso López",5,2017,15
"Alfonso López",5,2018,19
"Alfonso López",6,2014,14
"Alfonso López",6,2015,17
"Alfonso López",6,2016,18
"Alfonso López",6,2017,13
"Alfonso López",6,2018,9
"Alfonso López",7,2014,19
"Alfonso López",7,2015,30
"Alfonso López",7,2016,26
"Alfonso López",7,2017,13
"Alfonso López",7,2018,16
"Alfonso López",8,2014,18
"Alfonso López",8,2015,19
"Alfonso López",8,2016,27
"Alfonso López",8,2017,11
"Alfonso López",8,2018,14
"Alfonso López",9,2014,24
"Alfonso López",9,2015,17
"Alfonso López",9,2016,22
"Alfonso López",9,2017,15
"Alfonso López",9,2018,17
"Alfonso López",10,2014,25
"Alfonso López",10,2015,29
"Alfonso López",10,2016,32
"Alfonso López",10,2017,17
"Alfonso López",10,2018,18
"Alfonso López",11,2014,13
"Alfonso López",11,2015,16
"Alfonso López",11,2016,24
"Alfonso López",11,2017,14
"Alfonso López",11,2018,14
"Alfonso López",12,2014,28
"Alfonso López",12,2015,22
"Alfonso López",12,2016,18
"Alfonso López",12,2017,16
"Alfonso López",12,2018,9
"Altamira",1,2014,22
"Altamira",1,2015,5
"Altamira",1,2016,14
"Altamira",1,2017,7
"Altamira",1,2018,6
