"COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM"
"Aranjuez","2014-01-01T00:00:00.000Z",2014,1,1,"MIÉRCOLES",6,3
"Aranjuez","2014-01-02T00:00:00.000Z",2014,1,2,"JUEVES   ",7,4
"Aranjuez","2014-01-03T00:00:00.000Z",2014,1,3,"VIERNES  ",3,5
"Aranjuez","2014-01-04T00:00:00.000Z",2014,1,4,"SÁBADO   ",5,6
"Aranjuez","2014-01-05T00:00:00.000Z",2014,1,5,"DOMINGO  ",4,7
"Aranjuez","2014-01-06T00:00:00.000Z",2014,1,6,"LUNES    ",4,1
"Aranjuez","2014-01-07T00:00:00.000Z",2014,1,7,"MARTES   ",6,2
"Aranjuez","2014-01-08T00:00:00.000Z",2014,1,8,"MIÉRCOLES",5,3
"Aranjuez","2014-01-09T00:00:00.000Z",2014,1,9,"JUEVES   ",7,4
"Aranjuez","2014-01-10T00:00:00.000Z",2014,1,10,"VIERNES  ",7,5
"Aranjuez","2014-01-11T00:00:00.000Z",2014,1,11,"SÁBADO   ",5,6
"Aranjuez","2014-01-12T00:00:00.000Z",2014,1,12,"DOMINGO  ",4,7
"Aranjuez","2014-01-13T00:00:00.000Z",2014,1,13,"LUNES    ",5,1
"Aranjuez","2014-01-14T00:00:00.000Z",2014,1,14,"MARTES   ",9,2
"Aranjuez","2014-01-15T00:00:00.000Z",2014,1,15,"MIÉRCOLES",8,3
"Aranjuez","2014-01-16T00:00:00.000Z",2014,1,16,"JUEVES   ",9,4
"Aranjuez","2014-01-17T00:00:00.000Z",2014,1,17,"VIERNES  ",4,5
"Aranjuez","2014-01-18T00:00:00.000Z",2014,1,18,"SÁBADO   ",8,6
"Aranjuez","2014-01-19T00:00:00.000Z",2014,1,19,"DOMINGO  ",4,7
"Aranjuez","2014-01-20T00:00:00.000Z",2014,1,20,"LUNES    ",6,1
"Aranjuez","2014-01-21T00:00:00.000Z",2014,1,21,"MARTES   ",6,2
"Aranjuez","2014-01-22T00:00:00.000Z",2014,1,22,"MIÉRCOLES",6,3
"Aranjuez","2014-01-23T00:00:00.000Z",2014,1,23,"JUEVES   ",8,4
"Aranjuez","2014-01-24T00:00:00.000Z",2014,1,24,"VIERNES  ",5,5
"Aranjuez","2014-01-25T00:00:00.000Z",2014,1,25,"SÁBADO   ",4,6
"Aranjuez","2014-01-26T00:00:00.000Z",2014,1,26,"DOMINGO  ",3,7
"Aranjuez","2014-01-27T00:00:00.000Z",2014,1,27,"LUNES    ",6,1
"Aranjuez","2014-01-28T00:00:00.000Z",2014,1,28,"MARTES   ",7,2
"Aranjuez","2014-01-29T00:00:00.000Z",2014,1,29,"MIÉRCOLES",7,3
"Aranjuez","2014-01-30T00:00:00.000Z",2014,1,30,"JUEVES   ",7,4
"Aranjuez","2014-01-31T00:00:00.000Z",2014,1,31,"VIERNES  ",14,5
"Aranjuez","2014-02-01T00:00:00.000Z",2014,2,1,"SÁBADO   ",11,6
"Aranjuez","2014-02-02T00:00:00.000Z",2014,2,2,"DOMINGO  ",3,7
"Aranjuez","2014-02-03T00:00:00.000Z",2014,2,3,"LUNES    ",7,1
"Aranjuez","2014-02-04T00:00:00.000Z",2014,2,4,"MARTES   ",6,2
"Aranjuez","2014-02-05T00:00:00.000Z",2014,2,5,"MIÉRCOLES",8,3
"Aranjuez","2014-02-06T00:00:00.000Z",2014,2,6,"JUEVES   ",7,4
"Aranjuez","2014-02-07T00:00:00.000Z",2014,2,7,"VIERNES  ",12,5
"Aranjuez","2014-02-08T00:00:00.000Z",2014,2,8,"SÁBADO   ",6,6
"Aranjuez","2014-02-09T00:00:00.000Z",2014,2,9,"DOMINGO  ",8,7
"Aranjuez","2014-02-10T00:00:00.000Z",2014,2,10,"LUNES    ",11,1
"Aranjuez","2014-02-11T00:00:00.000Z",2014,2,11,"MARTES   ",6,2
