"COMUNA","MES","PERIODO","total"
"Aranjuez",1,2014,189
"Aranjuez",1,2015,195
"Aranjuez",1,2016,198
"Aranjuez",1,2017,196
"Aranjuez",1,2018,188
"Aranjuez",2,2014,204
"Aranjuez",2,2015,202
"Aranjuez",2,2016,226
"Aranjuez",2,2017,212
"Aranjuez",2,2018,189
"Aranjuez",3,2014,245
"Aranjuez",3,2015,233
"Aranjuez",3,2016,211
"Aranjuez",3,2017,202
"Aranjuez",3,2018,190
"Aranjuez",4,2014,223
"Aranjuez",4,2015,200
"Aranjuez",4,2016,187
"Aranjuez",4,2017,170
"Aranjuez",4,2018,187
"Aranjuez",5,2014,231
"Aranjuez",5,2015,233
"Aranjuez",5,2016,223
"Aranjuez",5,2017,257
"Aranjuez",5,2018,199
"Aranjuez",6,2014,196
"Aranjuez",6,2015,172
"Aranjuez",6,2016,185
"Aranjuez",6,2017,213
"Aranjuez",6,2018,184
"Aranjuez",7,2014,223
"Aranjuez",7,2015,245
"Aranjuez",7,2016,222
"Aranjuez",7,2017,201
"Aranjuez",7,2018,204
"Aranjuez",8,2014,215
"Aranjuez",8,2015,227
"Aranjuez",8,2016,206
"Aranjuez",8,2017,223
"Aranjuez",8,2018,241
"Aranjuez",9,2014,210
"Aranjuez",9,2015,245
"Aranjuez",9,2016,213
"Aranjuez",9,2017,212
"Aranjuez",9,2018,194
"Aranjuez",10,2014,211
"Aranjuez",10,2015,212
"Aranjuez",10,2016,212
"Aranjuez",10,2017,184
"Aranjuez",10,2018,175
"Aranjuez",11,2014,171
"Aranjuez",11,2015,208
"Aranjuez",11,2016,221
"Aranjuez",11,2017,163
"Aranjuez",11,2018,175
"Aranjuez",12,2014,213
"Aranjuez",12,2015,208
"Aranjuez",12,2016,234
"Aranjuez",12,2017,202
"Aranjuez",12,2018,215
"Belén",1,2014,208
"Belén",1,2015,165
"Belén",1,2016,228
"Belén",1,2017,211
"Belén",1,2018,216
"Belén",2,2014,194
"Belén",2,2015,229
"Belén",2,2016,250
"Belén",2,2017,246
"Belén",2,2018,199
"Belén",3,2014,263
"Belén",3,2015,208
"Belén",3,2016,261
"Belén",3,2017,266
"Belén",3,2018,201
"Belén",4,2014,225
"Belén",4,2015,220
"Belén",4,2016,239
"Belén",4,2017,229
"Belén",4,2018,219
"Belén",5,2014,226
"Belén",5,2015,226
"Belén",5,2016,237
"Belén",5,2017,232
"Belén",5,2018,227
"Belén",6,2014,221
"Belén",6,2015,181
"Belén",6,2016,262
"Belén",6,2017,251
"Belén",6,2018,211
"Belén",7,2014,231
"Belén",7,2015,232
"Belén",7,2016,268
"Belén",7,2017,265
"Belén",7,2018,228
"Belén",8,2014,204
"Belén",8,2015,264
"Belén",8,2016,289
"Belén",8,2017,258
"Belén",8,2018,236
"Belén",9,2014,231
"Belén",9,2015,251
"Belén",9,2016,258
"Belén",9,2017,286
"Belén",9,2018,235
"Belén",10,2014,219
"Belén",10,2015,226
"Belén",10,2016,298
"Belén",10,2017,235
"Belén",10,2018,201
"Belén",11,2014,191
"Belén",11,2015,226
"Belén",11,2016,222
"Belén",11,2017,244
"Belén",11,2018,230
"Belén",12,2014,208
"Belén",12,2015,242
"Belén",12,2016,245
"Belén",12,2017,216
"Belén",12,2018,243
"Buenos Aires",1,2014,103
"Buenos Aires",1,2015,107
"Buenos Aires",1,2016,142
"Buenos Aires",1,2017,113
"Buenos Aires",1,2018,101
"Buenos Aires",2,2014,119
"Buenos Aires",2,2015,129
"Buenos Aires",2,2016,123
"Buenos Aires",2,2017,118
"Buenos Aires",2,2018,116
"Buenos Aires",3,2014,145
"Buenos Aires",3,2015,139
"Buenos Aires",3,2016,139
"Buenos Aires",3,2017,138
"Buenos Aires",3,2018,140
"Buenos Aires",4,2014,98
"Buenos Aires",4,2015,133
"Buenos Aires",4,2016,137
"Buenos Aires",4,2017,133
"Buenos Aires",4,2018,127
"Buenos Aires",5,2014,139
"Buenos Aires",5,2015,135
"Buenos Aires",5,2016,127
"Buenos Aires",5,2017,147
"Buenos Aires",5,2018,142
"Buenos Aires",6,2014,146
"Buenos Aires",6,2015,119
"Buenos Aires",6,2016,126
"Buenos Aires",6,2017,135
"Buenos Aires",6,2018,134
"Buenos Aires",7,2014,146
"Buenos Aires",7,2015,126
"Buenos Aires",7,2016,141
"Buenos Aires",7,2017,136
"Buenos Aires",7,2018,105
"Buenos Aires",8,2014,147
"Buenos Aires",8,2015,165
"Buenos Aires",8,2016,152
"Buenos Aires",8,2017,123
"Buenos Aires",8,2018,120
"Buenos Aires",9,2014,124
"Buenos Aires",9,2015,122
"Buenos Aires",9,2016,151
"Buenos Aires",9,2017,145
"Buenos Aires",9,2018,133
"Buenos Aires",10,2014,120
"Buenos Aires",10,2015,127
"Buenos Aires",10,2016,136
"Buenos Aires",10,2017,115
"Buenos Aires",10,2018,131
"Buenos Aires",11,2014,143
"Buenos Aires",11,2015,106
"Buenos Aires",11,2016,132
"Buenos Aires",11,2017,131
"Buenos Aires",11,2018,104
"Buenos Aires",12,2014,121
"Buenos Aires",12,2015,148
"Buenos Aires",12,2016,119
"Buenos Aires",12,2017,138
"Buenos Aires",12,2018,134
"Castilla",1,2014,287
"Castilla",1,2015,286
"Castilla",1,2016,321
"Castilla",1,2017,320
"Castilla",1,2018,340
"Castilla",2,2014,298
"Castilla",2,2015,320
"Castilla",2,2016,363
"Castilla",2,2017,393
"Castilla",2,2018,308
"Castilla",3,2014,402
"Castilla",3,2015,360
"Castilla",3,2016,385
"Castilla",3,2017,421
"Castilla",3,2018,379
"Castilla",4,2014,338
"Castilla",4,2015,315
"Castilla",4,2016,356
"Castilla",4,2017,366
"Castilla",4,2018,357
"Castilla",5,2014,402
"Castilla",5,2015,323
"Castilla",5,2016,357
"Castilla",5,2017,358
"Castilla",5,2018,372
"Castilla",6,2014,328
"Castilla",6,2015,308
"Castilla",6,2016,341
"Castilla",6,2017,375
"Castilla",6,2018,396
"Castilla",7,2014,341
"Castilla",7,2015,325
"Castilla",7,2016,330
"Castilla",7,2017,323
"Castilla",7,2018,336
"Castilla",8,2014,344
"Castilla",8,2015,366
"Castilla",8,2016,379
"Castilla",8,2017,389
"Castilla",8,2018,362
"Castilla",9,2014,355
"Castilla",9,2015,356
"Castilla",9,2016,359
"Castilla",9,2017,367
"Castilla",9,2018,346
"Castilla",10,2014,380
"Castilla",10,2015,341
"Castilla",10,2016,394
"Castilla",10,2017,373
"Castilla",10,2018,354
"Castilla",11,2014,341
"Castilla",11,2015,349
"Castilla",11,2016,387
"Castilla",11,2017,354
"Castilla",11,2018,335
"Castilla",12,2014,388
"Castilla",12,2015,351
"Castilla",12,2016,325
"Castilla",12,2017,405
"Castilla",12,2018,375
"Doce de Octubre",1,2014,83
"Doce de Octubre",1,2015,92
"Doce de Octubre",1,2016,80
"Doce de Octubre",1,2017,79
"Doce de Octubre",1,2018,95
"Doce de Octubre",2,2014,97
"Doce de Octubre",2,2015,93
"Doce de Octubre",2,2016,76
"Doce de Octubre",2,2017,83
"Doce de Octubre",2,2018,82
"Doce de Octubre",3,2014,109
"Doce de Octubre",3,2015,111
"Doce de Octubre",3,2016,98
"Doce de Octubre",3,2017,89
"Doce de Octubre",3,2018,116
"Doce de Octubre",4,2014,97
"Doce de Octubre",4,2015,95
"Doce de Octubre",4,2016,115
"Doce de Octubre",4,2017,107
"Doce de Octubre",4,2018,98
"Doce de Octubre",5,2014,105
"Doce de Octubre",5,2015,97
"Doce de Octubre",5,2016,101
"Doce de Octubre",5,2017,112
"Doce de Octubre",5,2018,99
"Doce de Octubre",6,2014,109
"Doce de Octubre",6,2015,107
"Doce de Octubre",6,2016,87
"Doce de Octubre",6,2017,79
"Doce de Octubre",6,2018,125
"Doce de Octubre",7,2014,98
"Doce de Octubre",7,2015,92
"Doce de Octubre",7,2016,117
"Doce de Octubre",7,2017,105
"Doce de Octubre",7,2018,98
"Doce de Octubre",8,2014,113
"Doce de Octubre",8,2015,106
"Doce de Octubre",8,2016,119
"Doce de Octubre",8,2017,112
"Doce de Octubre",8,2018,111
"Doce de Octubre",9,2014,105
"Doce de Octubre",9,2015,93
"Doce de Octubre",9,2016,86
"Doce de Octubre",9,2017,111
"Doce de Octubre",9,2018,102
"Doce de Octubre",10,2014,87
"Doce de Octubre",10,2015,93
"Doce de Octubre",10,2016,97
"Doce de Octubre",10,2017,122
"Doce de Octubre",10,2018,80
"Doce de Octubre",11,2014,96
"Doce de Octubre",11,2015,90
"Doce de Octubre",11,2016,104
"Doce de Octubre",11,2017,96
"Doce de Octubre",11,2018,64
"Doce de Octubre",12,2014,83
"Doce de Octubre",12,2015,88
"Doce de Octubre",12,2016,93
"Doce de Octubre",12,2017,99
"Doce de Octubre",12,2018,104
"El Poblado",1,2014,245
"El Poblado",1,2015,235
"El Poblado",1,2016,241
"El Poblado",1,2017,268
"El Poblado",1,2018,219
"El Poblado",2,2014,253
"El Poblado",2,2015,251
"El Poblado",2,2016,283
"El Poblado",2,2017,331
"El Poblado",2,2018,302
"El Poblado",3,2014,294
"El Poblado",3,2015,271
"El Poblado",3,2016,267
"El Poblado",3,2017,298
"El Poblado",3,2018,280
"El Poblado",4,2014,262
"El Poblado",4,2015,238
"El Poblado",4,2016,292
"El Poblado",4,2017,326
"El Poblado",4,2018,270
"El Poblado",5,2014,284
"El Poblado",5,2015,259
"El Poblado",5,2016,277
"El Poblado",5,2017,369
"El Poblado",5,2018,331
"El Poblado",6,2014,239
"El Poblado",6,2015,264
"El Poblado",6,2016,285
"El Poblado",6,2017,341
"El Poblado",6,2018,266
"El Poblado",7,2014,259
"El Poblado",7,2015,294
"El Poblado",7,2016,276
"El Poblado",7,2017,316
"El Poblado",7,2018,261
"El Poblado",8,2014,264
"El Poblado",8,2015,321
"El Poblado",8,2016,336
"El Poblado",8,2017,317
"El Poblado",8,2018,339
"El Poblado",9,2014,276
"El Poblado",9,2015,320
"El Poblado",9,2016,311
"El Poblado",9,2017,342
"El Poblado",9,2018,324
"El Poblado",10,2014,272
"El Poblado",10,2015,247
"El Poblado",10,2016,301
"El Poblado",10,2017,340
