"COMUNA","SEMANA","MES","PERIODO","total"
"Aranjuez",1,1,2014,25
"Aranjuez",1,1,2015,28
"Aranjuez",1,1,2016,36
"Aranjuez",1,1,2017,33
"Aranjuez",1,1,2018,35
"Aranjuez",1,12,2014,15
"Aranjuez",1,12,2018,7
"Aranjuez",2,1,2014,38
"Aranjuez",2,1,2015,38
"Aranjuez",2,1,2016,42
"Aranjuez",2,1,2017,49
"Aranjuez",2,1,2018,46
"Aranjuez",3,1,2014,47
"Aranjuez",3,1,2015,37
"Aranjuez",3,1,2016,54
"Aranjuez",3,1,2017,50
"Aranjuez",3,1,2018,41
"Aranjuez",4,1,2014,38
"Aranjuez",4,1,2015,41
"Aranjuez",4,1,2016,51
"Aranjuez",4,1,2017,50
"Aranjuez",4,1,2018,46
"Aranjuez",5,1,2014,41
"Aranjuez",5,1,2015,51
"Aranjuez",5,1,2017,10
"Aranjuez",5,1,2018,20
"Aranjuez",5,2,2014,14
"Aranjuez",5,2,2015,9
"Aranjuez",5,2,2016,51
"Aranjuez",5,2,2017,44
"Aranjuez",5,2,2018,27
"Aranjuez",6,2,2014,54
"Aranjuez",6,2,2015,41
"Aranjuez",6,2,2016,74
"Aranjuez",6,2,2017,45
"Aranjuez",6,2,2018,48
"Aranjuez",7,2,2014,50
"Aranjuez",7,2,2015,51
"Aranjuez",7,2,2016,45
"Aranjuez",7,2,2017,45
"Aranjuez",7,2,2018,54
"Aranjuez",8,2,2014,53
"Aranjuez",8,2,2015,56
"Aranjuez",8,2,2016,50
"Aranjuez",8,2,2017,61
"Aranjuez",8,2,2018,43
"Aranjuez",9,2,2014,33
"Aranjuez",9,2,2015,45
"Aranjuez",9,2,2016,6
"Aranjuez",9,2,2017,17
"Aranjuez",9,2,2018,17
"Aranjuez",9,3,2014,20
"Aranjuez",9,3,2015,8
"Aranjuez",9,3,2016,37
"Aranjuez",9,3,2017,32
"Aranjuez",9,3,2018,27
"Aranjuez",10,3,2014,55
"Aranjuez",10,3,2015,57
"Aranjuez",10,3,2016,53
"Aranjuez",10,3,2017,42
"Aranjuez",10,3,2018,40
"Aranjuez",11,3,2014,54
"Aranjuez",11,3,2015,46
"Aranjuez",11,3,2016,51
"Aranjuez",11,3,2017,47
"Aranjuez",11,3,2018,44
"Aranjuez",12,3,2014,50
"Aranjuez",12,3,2015,61
"Aranjuez",12,3,2016,38
"Aranjuez",12,3,2017,36
"Aranjuez",12,3,2018,44
"Aranjuez",13,3,2014,58
"Aranjuez",13,3,2015,47
"Aranjuez",13,3,2016,32
"Aranjuez",13,3,2017,45
"Aranjuez",13,3,2018,35
"Aranjuez",13,4,2016,12
"Aranjuez",13,4,2017,7
"Aranjuez",13,4,2018,3
"Aranjuez",14,3,2014,8
"Aranjuez",14,3,2015,14
"Aranjuez",14,4,2014,54
"Aranjuez",14,4,2015,22
"Aranjuez",14,4,2016,55
"Aranjuez",14,4,2017,50
"Aranjuez",14,4,2018,48
"Aranjuez",15,4,2014,55
"Aranjuez",15,4,2015,45
"Aranjuez",15,4,2016,44
"Aranjuez",15,4,2017,35
"Aranjuez",15,4,2018,50
"Aranjuez",16,4,2014,41
"Aranjuez",16,4,2015,40
"Aranjuez",16,4,2016,38
"Aranjuez",16,4,2017,40
"Aranjuez",16,4,2018,36
"Aranjuez",17,4,2014,56
"Aranjuez",17,4,2015,58
"Aranjuez",17,4,2016,38
"Aranjuez",17,4,2017,38
"Aranjuez",17,4,2018,44
"Aranjuez",17,5,2016,3
"Aranjuez",18,4,2014,17
"Aranjuez",18,4,2015,35
"Aranjuez",18,4,2018,6
"Aranjuez",18,5,2014,35
"Aranjuez",18,5,2015,20
"Aranjuez",18,5,2016,45
"Aranjuez",18,5,2017,60
"Aranjuez",18,5,2018,31
"Aranjuez",19,5,2014,45
"Aranjuez",19,5,2015,44
"Aranjuez",19,5,2016,42
"Aranjuez",19,5,2017,60
"Aranjuez",19,5,2018,44
"Aranjuez",20,5,2014,50
"Aranjuez",20,5,2015,44
"Aranjuez",20,5,2016,62
"Aranjuez",20,5,2017,66
"Aranjuez",20,5,2018,48
"Aranjuez",21,5,2014,60
"Aranjuez",21,5,2015,72
"Aranjuez",21,5,2016,59
"Aranjuez",21,5,2017,48
"Aranjuez",21,5,2018,50
"Aranjuez",22,5,2014,41
"Aranjuez",22,5,2015,53
"Aranjuez",22,5,2016,12
"Aranjuez",22,5,2017,23
"Aranjuez",22,5,2018,26
"Aranjuez",22,6,2014,6
"Aranjuez",22,6,2016,29
"Aranjuez",22,6,2017,38
"Aranjuez",22,6,2018,15
"Aranjuez",23,6,2014,43
"Aranjuez",23,6,2015,49
"Aranjuez",23,6,2016,39
"Aranjuez",23,6,2017,47
"Aranjuez",23,6,2018,38
"Aranjuez",24,6,2014,51
"Aranjuez",24,6,2015,38
"Aranjuez",24,6,2016,59
"Aranjuez",24,6,2017,57
"Aranjuez",24,6,2018,53
"Aranjuez",25,6,2014,51
"Aranjuez",25,6,2015,28
"Aranjuez",25,6,2016,37
"Aranjuez",25,6,2017,35
"Aranjuez",25,6,2018,37
"Aranjuez",26,6,2014,42
"Aranjuez",26,6,2015,43
"Aranjuez",26,6,2016,21
"Aranjuez",26,6,2017,36
"Aranjuez",26,6,2018,41
"Aranjuez",26,7,2016,19
"Aranjuez",26,7,2017,15
"Aranjuez",26,7,2018,7
"Aranjuez",27,6,2014,3
"Aranjuez",27,6,2015,14
"Aranjuez",27,7,2014,54
"Aranjuez",27,7,2015,38
"Aranjuez",27,7,2016,48
"Aranjuez",27,7,2017,49
"Aranjuez",27,7,2018,34
"Aranjuez",28,7,2014,46
"Aranjuez",28,7,2015,58
"Aranjuez",28,7,2016,61
"Aranjuez",28,7,2017,52
"Aranjuez",28,7,2018,45
"Aranjuez",29,7,2014,50
"Aranjuez",29,7,2015,64
"Aranjuez",29,7,2016,47
"Aranjuez",29,7,2017,35
"Aranjuez",29,7,2018,59
"Aranjuez",30,7,2014,45
"Aranjuez",30,7,2015,53
"Aranjuez",30,7,2016,47
"Aranjuez",30,7,2017,41
"Aranjuez",30,7,2018,38
"Aranjuez",31,7,2014,28
"Aranjuez",31,7,2015,32
"Aranjuez",31,7,2017,9
"Aranjuez",31,7,2018,21
"Aranjuez",31,8,2014,16
"Aranjuez",31,8,2015,13
"Aranjuez",31,8,2016,49
"Aranjuez",31,8,2017,50
"Aranjuez",31,8,2018,30
"Aranjuez",32,8,2014,68
"Aranjuez",32,8,2015,53
"Aranjuez",32,8,2016,45
"Aranjuez",32,8,2017,46
"Aranjuez",32,8,2018,57
"Aranjuez",33,8,2014,53
"Aranjuez",33,8,2015,47
"Aranjuez",33,8,2016,49
"Aranjuez",33,8,2017,49
"Aranjuez",33,8,2018,68
"Aranjuez",34,8,2014,37
"Aranjuez",34,8,2015,49
"Aranjuez",34,8,2016,41
"Aranjuez",34,8,2017,51
"Aranjuez",34,8,2018,54
"Aranjuez",35,8,2014,41
"Aranjuez",35,8,2015,60
"Aranjuez",35,8,2016,22
"Aranjuez",35,8,2017,27
"Aranjuez",35,8,2018,32
"Aranjuez",35,9,2016,34
"Aranjuez",35,9,2017,14
"Aranjuez",35,9,2018,13
"Aranjuez",36,8,2015,5
"Aranjuez",36,9,2014,51
"Aranjuez",36,9,2015,59
"Aranjuez",36,9,2016,39
"Aranjuez",36,9,2017,57
"Aranjuez",36,9,2018,47
"Aranjuez",37,9,2014,49
"Aranjuez",37,9,2015,72
"Aranjuez",37,9,2016,52
"Aranjuez",37,9,2017,57
"Aranjuez",37,9,2018,54
"Aranjuez",38,9,2014,50
"Aranjuez",38,9,2015,50
"Aranjuez",38,9,2016,58
"Aranjuez",38,9,2017,43
"Aranjuez",38,9,2018,33
"Aranjuez",39,9,2014,46
"Aranjuez",39,9,2015,44
"Aranjuez",39,9,2016,30
"Aranjuez",39,9,2017,41
"Aranjuez",39,9,2018,47
"Aranjuez",39,10,2016,13
"Aranjuez",39,10,2017,6
"Aranjuez",40,9,2014,14
"Aranjuez",40,9,2015,20
"Aranjuez",40,10,2014,37
"Aranjuez",40,10,2015,22
"Aranjuez",40,10,2016,49
"Aranjuez",40,10,2017,41
"Aranjuez",40,10,2018,37
"Aranjuez",41,10,2014,48
"Aranjuez",41,10,2015,45
"Aranjuez",41,10,2016,48
"Aranjuez",41,10,2017,41
"Aranjuez",41,10,2018,44
"Aranjuez",42,10,2014,38
"Aranjuez",42,10,2015,51
"Aranjuez",42,10,2016,44
"Aranjuez",42,10,2017,46
"Aranjuez",42,10,2018,30
"Aranjuez",43,10,2014,44
"Aranjuez",43,10,2015,50
"Aranjuez",43,10,2016,51
"Aranjuez",43,10,2017,35
"Aranjuez",43,10,2018,37
"Aranjuez",44,10,2014,44
"Aranjuez",44,10,2015,44
"Aranjuez",44,10,2016,7
"Aranjuez",44,10,2017,15
"Aranjuez",44,10,2018,27
"Aranjuez",44,11,2014,15
"Aranjuez",44,11,2015,8
"Aranjuez",44,11,2016,53
"Aranjuez",44,11,2017,30
"Aranjuez",44,11,2018,28
"Aranjuez",45,11,2014,40
"Aranjuez",45,11,2015,45
"Aranjuez",45,11,2016,46
"Aranjuez",45,11,2017,41
"Aranjuez",45,11,2018,41
"Aranjuez",46,11,2014,34
"Aranjuez",46,11,2015,48
"Aranjuez",46,11,2016,47
"Aranjuez",46,11,2017,37
"Aranjuez",46,11,2018,32
"Aranjuez",47,11,2014,38
"Aranjuez",47,11,2015,52
"Aranjuez",47,11,2016,53
"Aranjuez",47,11,2017,34
"Aranjuez",47,11,2018,52
"Aranjuez",48,11,2014,44
"Aranjuez",48,11,2015,51
"Aranjuez",48,11,2016,22
"Aranjuez",48,11,2017,21
"Aranjuez",48,11,2018,22
"Aranjuez",48,12,2016,31
"Aranjuez",48,12,2017,19
"Aranjuez",48,12,2018,13
"Aranjuez",49,11,2015,4
"Aranjuez",49,12,2014,59
"Aranjuez",49,12,2015,41
"Aranjuez",49,12,2016,63
"Aranjuez",49,12,2017,42
"Aranjuez",49,12,2018,53
"Aranjuez",50,12,2014,44
"Aranjuez",50,12,2015,52
"Aranjuez",50,12,2016,52
"Aranjuez",50,12,2017,46
"Aranjuez",50,12,2018,52
"Aranjuez",51,12,2014,48
"Aranjuez",51,12,2015,55
"Aranjuez",51,12,2016,45
"Aranjuez",51,12,2017,53
"Aranjuez",51,12,2018,43
"Aranjuez",52,1,2017,4
"Aranjuez",52,12,2014,47
"Aranjuez",52,12,2015,45
"Aranjuez",52,12,2016,43
"Aranjuez",52,12,2017,42
"Aranjuez",52,12,2018,47
"Aranjuez",53,1,2016,15
"Aranjuez",53,12,2015,15
"Belén",1,1,2014,20
"Belén",1,1,2015,19
"Belén",1,1,2016,41
"Belén",1,1,2017,40
"Belén",1,1,2018,54
"Belén",1,12,2014,16
"Belén",1,12,2018,4
"Belén",2,1,2014,52
"Belén",2,1,2015,36
"Belén",2,1,2016,62
"Belén",2,1,2017,49
"Belén",2,1,2018,35
"Belén",3,1,2014,45
"Belén",3,1,2015,35
"Belén",3,1,2016,54
"Belén",3,1,2017,46
"Belén",3,1,2018,46
"Belén",4,1,2014,53
"Belén",4,1,2015,44
"Belén",4,1,2016,55
"Belén",4,1,2017,51
"Belén",4,1,2018,61
"Belén",5,1,2014,38
"Belén",5,1,2015,31
"Belén",5,1,2017,24
"Belén",5,1,2018,20
"Belén",5,2,2014,14
"Belén",5,2,2015,8
"Belén",5,2,2016,55
"Belén",5,2,2017,42
"Belén",5,2,2018,24
"Belén",6,2,2014,44
"Belén",6,2,2015,60
"Belén",6,2,2016,61
"Belén",6,2,2017,53
"Belén",6,2,2018,43
"Belén",7,2,2014,41
"Belén",7,2,2015,60
"Belén",7,2,2016,70
"Belén",7,2,2017,45
"Belén",7,2,2018,50
"Belén",8,2,2014,52
"Belén",8,2,2015,59
"Belén",8,2,2016,59
"Belén",8,2,2017,85
"Belén",8,2,2018,53
"Belén",9,2,2014,43
"Belén",9,2,2015,42
